"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FIVVX82D","journalArticle","2012","Salonen, A.; Salojärvi, J.; Lahti, L.; de Vos, W.M.","The adult intestinal core microbiota is determined by analysis depth and health status","Clinical Microbiology and Infection","","1198743X","10.1111/j.1469-0691.2012.03855.x","https://linkinghub.elsevier.com/retrieve/pii/S1198743X14609629","","2012-07","2019-10-29 14:32:56","2019-10-29 14:32:56","2019-10-29 14:32:56","16-20","","","18","","Clinical Microbiology and Infection","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/NIBFTRQ5/Salonen et al_2012_The adult intestinal core microbiota is determined by analysis depth and health.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNG98HFM","journalArticle","2013","Lahti, Leo; Salonen, Anne; Kekkonen, Riina A.; Salojärvi, Jarkko; Jalanka-Tuovinen, Jonna; Palva, Airi; Orešič, Matej; de Vos, Willem M.","Associations between the human intestinal microbiota, <i>Lactobacillus rhamnosus</i> GG and serum lipids indicated by integrated analysis of high-throughput profiling data","PeerJ","","2167-8359","10.7717/peerj.32","https://peerj.com/articles/32","","2013-02-26","2019-10-29 14:33:02","2019-10-30 12:30:38","2019-10-29 14:33:02","e32","","","1","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/8VXMFYYL/Lahti et al_2013_Associations between the human intestinal microbiota, iLactobacillus.pdf","","human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PGZ2ET2","journalArticle","2015","Faust, Karoline; Lahti, Leo; Gonze, Didier; de Vos, Willem M; Raes, Jeroen","Metagenomics meets time series analysis: unraveling microbial community dynamics","Current Opinion in Microbiology","","13695274","10.1016/j.mib.2015.04.004","https://linkinghub.elsevier.com/retrieve/pii/S1369527415000478","","2015-06","2019-10-29 14:33:07","2019-10-29 14:33:07","2019-10-29 14:33:07","56-66","","","25","","Current Opinion in Microbiology","Metagenomics meets time series analysis","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/CVK6S5QS/Faust et al_2015_Metagenomics meets time series analysis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CVIYL5G","journalArticle","2016","Callahan, Benjamin J; McMurdie, Paul J; Rosen, Michael J; Han, Andrew W; Johnson, Amy Jo A; Holmes, Susan P","DADA2: High-resolution sample inference from Illumina amplicon data","Nature Methods","","1548-7091, 1548-7105","10.1038/nmeth.3869","http://www.nature.com/articles/nmeth.3869","","2016-07","2019-10-29 14:33:12","2019-10-29 14:33:12","2019-10-29 14:33:12","581-583","","7","13","","Nat Methods","DADA2","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/SE8X29TN/Callahan et al_2016_DADA2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZINTM9B6","journalArticle","2017","Callahan, Benjamin J; McMurdie, Paul J; Holmes, Susan P","Exact sequence variants should replace operational taxonomic units in marker-gene data analysis","The ISME Journal","","1751-7362, 1751-7370","10.1038/ismej.2017.119","http://www.nature.com/articles/ismej2017119","","2017-12","2019-10-29 14:33:16","2019-10-29 14:33:16","2019-10-29 14:33:16","2639-2643","","12","11","","ISME J","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/FEFEYGVZ/Callahan et al_2017_Exact sequence variants should replace operational taxonomic units in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXZLVVUX","report","2018","Callahan, Benjamin J; Wong, Joan; Heiner, Cheryl; Oh, Steve; Theriot, Casey M; Gulati, Ajay S; McGill, Sarah K; Dougherty, Michael K","High-throughput amplicon sequencing of the full-length 16S rRNA gene with single-nucleotide resolution","","","","","http://biorxiv.org/lookup/doi/10.1101/392332","Abstract           Targeted PCR amplification and high-throughput sequencing (amplicon sequencing) of 16S rRNA gene fragments is widely used to profile microbial communities. New long-read sequencing technologies can sequence the entire 16S rRNA gene, but higher error rates have limited their attractiveness when accuracy is important. Here we present a high-throughput amplicon sequencing methodology based on PacBio circular consensus sequencing and the DADA2 sample inference method that measures the full-length 16S rRNA gene with single-nucleotide resolution and a near-zero error rate.                        In two artificial communities of known composition, our method recovered the full complement of full-length 16S sequence variants from expected community members without residual errors. The measured abundances of intra-genomic sequence variants were in the integral ratios expected from the genuine allelic variants within a genome. The full-length 16S gene sequences recovered by our approach allowed             E. coli             strains to be correctly classified to the O157:H7 and K12 sub-species clades. In human fecal samples, our method showed strong technical replication and was able to recover the full complement of 16S rRNA alleles in several             E. coli             strains.                      There are likely many applications beyond microbial profiling for which high-throughput amplicon sequencing of complete genes with single-nucleotide resolution will be of use.","2018-08-15","2019-10-29 14:33:18","2019-10-30 12:21:54","2019-10-29 14:33:18","","","","","","","","","","","","Bioinformatics","","en","","preprint","","","DOI.org (Crossref)","","DOI: 10.1101/392332 Citation Key Alias: CallahanHighthroughputampliconsequencing2018","","/home/eror/Zotero/storage/2QIMPE4M/Callahan et al_2018_High-throughput amplicon sequencing of the full-length 16S rRNA gene with.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2WC5HZS","journalArticle","2019","Schiffer, Lucas; Azhar, Rimsha; Shepherd, Lori; Ramos, Marcel; Geistlinger, Ludwig; Huttenhower, Curtis; Dowd, Jennifer B; Segata, Nicola; Waldron, Levi","HMP16SData: Efficient Access to the Human Microbiome Project Through Bioconductor","American Journal of Epidemiology","","0002-9262, 1476-6256","10.1093/aje/kwz006","https://academic.oup.com/aje/article/188/6/1023/5288094","","2019-06-01","2019-10-29 14:33:25","2019-10-30 12:30:38","2019-10-29 14:33:25","1023-1026","","6","188","","","HMP16SData","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/UYYVHSXV/Schiffer et al_2019_HMP16SData.pdf","","human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4CYHV93X","journalArticle","2018","Zhang, Jingying; Zhang, Na; Liu, Yong-Xin; Zhang, Xiaoning; Hu, Bin; Qin, Yuan; Xu, Haoran; Wang, Hui; Guo, Xiaoxuan; Qian, Jingmei; Wang, Wei; Zhang, Pengfan; Jin, Tao; Chu, Chengcai; Bai, Yang","Root microbiota shift in rice correlates with resident time in the field and developmental stage","Science China Life Sciences","","1674-7305, 1869-1889","10.1007/s11427-018-9284-4","http://link.springer.com/10.1007/s11427-018-9284-4","","2018-06","2019-10-29 14:33:27","2019-10-29 14:33:27","2019-10-29 14:33:26","613-621","","6","61","","Sci. China Life Sci.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/EIB5HESD/Zhang et al_2018_Root microbiota shift in rice correlates with resident time in the field and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UKTEGKP","journalArticle","2017","Vandeputte, Doris; Kathagen, Gunter; D’hoe, Kevin; Vieira-Silva, Sara; Valles-Colomer, Mireia; Sabino, João; Wang, Jun; Tito, Raul Y.; De Commer, Lindsey; Darzi, Youssef; Vermeire, Séverine; Falony, Gwen; Raes, Jeroen","Quantitative microbiome profiling links gut community variation to microbial load","Nature","","0028-0836, 1476-4687","10.1038/nature24460","http://www.nature.com/articles/nature24460","","2017-11","2019-10-29 14:33:28","2019-10-29 14:33:28","2019-10-29 14:33:28","507-511","","7681","551","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/8295KJIK/Vandeputte et al_2017_Quantitative microbiome profiling links gut community variation to microbial.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F78ZS7RH","journalArticle","2017","Amir, Amnon; McDonald, Daniel; Navas-Molina, Jose A.; Kopylova, Evguenia; Morton, James T.; Zech Xu, Zhenjiang; Kightley, Eric P.; Thompson, Luke R.; Hyde, Embriette R.; Gonzalez, Antonio; Knight, Rob","Deblur Rapidly Resolves Single-Nucleotide Community Sequence Patterns","mSystems","","2379-5077","10.1128/mSystems.00191-16","http://msystems.asm.org/lookup/doi/10.1128/mSystems.00191-16","ABSTRACT                            High-throughput sequencing of 16S ribosomal RNA gene amplicons has facilitated understanding of complex microbial communities, but the inherent noise in PCR and DNA sequencing limits differentiation of closely related bacteria. Although many scientific questions can be addressed with broad taxonomic profiles, clinical, food safety, and some ecological applications require higher specificity. Here we introduce a novel sub-operational-taxonomic-unit (sOTU) approach, Deblur, that uses error profiles to obtain putative error-free sequences from Illumina MiSeq and HiSeq sequencing platforms. Deblur substantially reduces computational demands relative to similar sOTU methods and does so with similar or better sensitivity and specificity. Using simulations, mock mixtures, and real data sets, we detected closely related bacterial sequences with single nucleotide differences while removing false positives and maintaining stability in detection, suggesting that Deblur is limited only by read length and diversity within the amplicon sequences. Because Deblur operates on a per-sample level, it scales to modern data sets and meta-analyses. To highlight Deblur’s ability to integrate data sets, we include an interactive exploration of its application to multiple distinct sequencing rounds of the American Gut Project. Deblur is open source under the Berkeley Software Distribution (BSD) license, easily installable, and downloadable from               https://github.com/biocore/deblur               .                                         IMPORTANCE               Deblur provides a rapid and sensitive means to assess ecological patterns driven by differentiation of closely related taxa. This algorithm provides a solution to the problem of identifying real ecological differences between taxa whose amplicons differ by a single base pair, is applicable in an automated fashion to large-scale sequencing data sets, and can integrate sequencing runs collected over time.","2017-04-25","2019-10-29 14:33:31","2019-10-29 14:33:31","2019-10-29 14:33:31","e00191-16, /msys/2/2/e00191-16.atom","","2","2","","mSystems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/EUI52FKT/Amir et al_2017_Deblur Rapidly Resolves Single-Nucleotide Community Sequence Patterns.pdf","","","","Gilbert, Jack A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
